Instrucción,Fecha Resultado
09/09/15 por favor mañana,10/09/15
11/11/49 el siguiente martes,16/11/49
16/06/41 este miércoles siguiente por favor,19/06/41
13/12/50 el próximo viernes,16/12/50
13/04/12 el próximo miércoles,18/04/12
16/11/17 el siguiente miércoles gracias,22/11/17
08/09/16 el martes gracias,13/09/16
01/04/34 en tres días por favor,04/04/34
20/12/25 pasado mañana,22/12/25
09/09/49 el lunes,13/09/49
05/01/44 el próximo miércoles por favor,06/01/44
15/10/03 por favor este martes,21/10/03
03/02/27 el martes siguiente,09/02/27
02/07/52 por favor este miércoles,03/07/52
07/04/27 el jueves gracias,08/04/27
29/04/44 este lunes gracias,02/05/44
05/03/50 este lunes siguiente por favor,07/03/50
30/07/41 el miércoles siguiente,31/07/41
22/02/20 por favor en tres días,25/02/20
29/05/02 en tres días por favor,01/06/02
21/03/00 el martes,28/03/00
26/10/13 en un par de días,28/10/13
26/07/23 el viernes próximo,28/07/23
05/12/26 este jueves,10/12/26
19/06/57 por favor el siguiente lunes,25/06/57
08/02/57 el siguiente martes,13/02/57
24/05/42 el próximo jueves,29/05/42
21/02/11 el lunes gracias,28/02/11
28/08/58 por favor el próximo viernes,30/08/58
28/09/59 mañana gracias,29/09/59
22/10/25 mañana,23/10/25
04/06/37 el lunes que viene,08/06/37
03/02/16 este miércoles gracias,10/02/16
17/02/44 por favor el próximo jueves,18/02/44
05/11/57 el lunes siguiente,12/11/57
15/12/21 pasado mañana,17/12/21
21/07/02 el viernes,26/07/02
16/09/10 el martes que viene,21/09/10
13/11/24 este jueves,14/11/24
26/03/44 el martes próximo,29/03/44
26/12/05 en tres días por favor,29/12/05
23/09/53 en tres días por favor,26/09/53
15/06/32 este miércoles que viene,16/06/32
17/02/52 este lunes próximo,19/02/52
08/02/43 el martes,10/02/43
27/09/50 el viernes que viene,30/09/50
14/02/39 este viernes siguiente por favor,18/02/39
20/02/23 en tres días por favor,23/02/23
04/05/56 en un par de días gracias,06/05/56
15/09/42 por favor este jueves que viene,18/09/42
23/09/10 por favor el siguiente viernes,24/09/10
25/06/33 el siguiente miércoles,29/06/33
24/12/45 este viernes,29/12/45
11/08/51 este lunes por favor,14/08/51
28/07/01 en un par de días por favor,30/07/01
14/04/23 en tres días por favor,17/04/23
11/08/14 este miércoles que viene,13/08/14
07/03/52 el viernes que viene,08/03/52
01/04/05 el siguiente miércoles,06/04/05
09/02/13 en un par de días,11/02/13
05/09/28 mañana gracias,06/09/28
12/05/41 en un par de días,14/05/41
26/02/12 en tres días,29/02/12
23/01/32 por favor el jueves,29/01/32
26/08/14 el próximo viernes gracias,29/08/14
29/09/04 este miércoles por favor,06/10/04
17/06/24 el lunes que viene,24/06/24
26/05/32 el siguiente jueves gracias,27/05/32
20/08/37 el siguiente lunes,24/08/37
29/01/57 el martes que viene,30/01/57
08/12/31 en tres días gracias,11/12/31
15/05/04 en tres días,18/05/04
02/01/26 por favor este viernes que viene,09/01/26
02/03/26 el siguiente viernes por favor,06/03/26
07/07/47 este jueves que viene,11/07/47
27/04/57 en un par de días,29/04/57
22/11/06 mañana,23/11/06
06/02/46 por favor el miércoles siguiente,07/02/46
21/05/17 el miércoles gracias,24/05/17
05/05/56 en un par de días gracias,07/05/56
09/06/16 el siguiente martes gracias,14/06/16
23/06/08 en tres días,26/06/08
19/09/53 el viernes,26/09/53
29/12/14 en un par de días por favor,31/12/14
11/10/48 el siguiente martes,13/10/48
10/12/28 el martes que viene por favor,12/12/28
14/05/28 el jueves que viene,18/05/28
04/01/27 este jueves,07/01/27
09/05/24 este viernes próximo por favor,10/05/24
10/07/32 por favor el lunes,12/07/32
06/08/08 este miércoles,13/08/08
11/12/47 por favor el miércoles siguiente,18/12/47
14/01/52 este lunes gracias,15/01/52
19/07/31 pasado mañana,21/07/31
22/11/12 el miércoles gracias,28/11/12
26/02/01 este lunes que viene por favor,05/03/01
14/04/12 por favor este lunes que viene,16/04/12
27/06/46 en tres días,30/06/46
31/03/25 en tres días,03/04/25
18/06/33 por favor el viernes próximo,24/06/33
03/07/43 el miércoles siguiente gracias,08/07/43
17/12/36 este lunes,22/12/36
13/07/30 el jueves gracias,18/07/30
17/08/14 en tres días por favor,20/08/14
10/03/09 este jueves próximo,12/03/09
19/07/19 el miércoles,24/07/19
12/11/13 este martes,19/11/13
27/02/45 el próximo jueves,02/03/45
02/11/19 el próximo lunes gracias,04/11/19
26/11/16 mañana,27/11/16
13/02/50 el próximo jueves por favor,17/02/50
12/01/55 el próximo viernes por favor,15/01/55
27/02/47 el próximo miércoles,06/03/47
26/09/47 pasado mañana por favor,28/09/47
10/06/49 pasado mañana,12/06/49
23/03/10 este martes gracias,30/03/10
10/06/37 por favor el viernes,12/06/37
24/04/41 el próximo lunes,29/04/41
08/11/06 este jueves,09/11/06
16/06/10 pasado mañana,18/06/10
10/10/11 el martes siguiente,11/10/11
23/07/01 este lunes que viene por favor,30/07/01
07/01/43 mañana gracias,08/01/43
29/03/31 el jueves próximo,03/04/31
14/12/27 por favor pasado mañana,16/12/27
11/07/32 el siguiente viernes,16/07/32
21/06/12 por favor en un par de días,23/06/12
25/08/39 este martes,30/08/39
13/08/53 el próximo jueves,14/08/53
06/12/46 pasado mañana,08/12/46
08/09/30 este miércoles siguiente,11/09/30
13/06/15 en un par de días gracias,15/06/15
02/05/27 el siguiente martes,04/05/27
31/07/02 el próximo miércoles,07/08/02
22/08/10 el próximo jueves,26/08/10
13/12/19 este viernes,20/12/19
19/07/11 este viernes que viene gracias,22/07/11
08/10/12 el lunes,15/10/12
29/04/20 el lunes,04/05/20
31/07/27 en tres días,03/08/27
31/03/11 este miércoles gracias,06/04/11
29/10/18 el lunes siguiente,05/11/18
06/09/11 por favor este martes,13/09/11
19/01/07 mañana por favor,20/01/07
10/02/38 por favor el lunes que viene,15/02/38
08/01/10 este viernes próximo,15/01/10
22/12/06 el próximo lunes,25/12/06
08/09/01 el lunes,10/09/01
12/06/43 este viernes siguiente por favor,19/06/43
09/09/38 por favor el siguiente martes,14/09/38
25/10/03 por favor mañana,26/10/03
13/08/17 este lunes próximo,14/08/17
02/09/09 el siguiente jueves,03/09/09
10/12/02 este martes gracias,17/12/02
11/03/59 este miércoles próximo,12/03/59
24/01/46 este lunes,29/01/46
20/03/53 este miércoles que viene,26/03/53
26/04/05 el próximo jueves,28/04/05
30/01/42 este viernes por favor,31/01/42
01/09/10 el martes siguiente,07/09/10
12/09/22 el lunes,19/09/22
19/11/03 por favor el lunes siguiente,24/11/03
10/12/05 en un par de días,12/12/05
23/01/27 el siguiente jueves,28/01/27
22/11/59 el próximo miércoles,26/11/59
02/12/00 el jueves,07/12/00
28/08/08 por favor el viernes,29/08/08
08/02/11 el viernes siguiente,11/02/11
27/12/53 el próximo miércoles gracias,31/12/53
05/06/18 el viernes,08/06/18
18/09/52 mañana gracias,19/09/52
11/12/17 el lunes próximo,18/12/17
29/07/16 este martes próximo gracias,02/08/16
29/02/60 este jueves que viene,04/03/60
16/07/31 en tres días,19/07/31
16/08/02 en tres días,19/08/02
22/02/08 en un par de días por favor,24/02/08
21/01/13 el próximo viernes por favor,25/01/13
19/11/24 por favor el jueves que viene,21/11/24
05/01/52 este lunes próximo,08/01/52
16/03/31 en un par de días,18/03/31
06/08/31 por favor este lunes siguiente,11/08/31
28/05/14 en un par de días por favor,30/05/14
29/11/44 pasado mañana,01/12/44
28/12/54 este viernes,01/01/55
11/09/21 este miércoles,15/09/21
18/04/45 el siguiente martes,25/04/45
27/02/51 en tres días gracias,02/03/51
17/02/06 el viernes que viene,24/02/06
21/11/08 en un par de días,23/11/08
13/11/51 en tres días,16/11/51
03/04/01 pasado mañana,05/04/01
11/06/47 en tres días gracias,14/06/47
20/06/19 el lunes por favor,24/06/19
08/03/17 en un par de días,10/03/17
14/04/25 este viernes,18/04/25
30/05/15 el lunes siguiente,01/06/15
09/03/48 en tres días,12/03/48
21/05/00 el lunes por favor,22/05/00
07/11/08 este lunes,10/11/08
14/03/19 por favor este martes,19/03/19
26/03/45 mañana gracias,27/03/45
03/08/42 el próximo lunes,04/08/42
16/11/32 el próximo viernes por favor,19/11/32
15/11/52 este jueves que viene,21/11/52
10/08/16 por favor este miércoles,17/08/16
11/06/39 el próximo lunes,13/06/39
04/06/60 el próximo martes,08/06/60
17/08/09 en tres días por favor,20/08/09
23/03/16 pasado mañana gracias,25/03/16
31/10/31 por favor el viernes siguiente,07/11/31
21/01/34 el próximo miércoles,25/01/34
17/01/38 este viernes próximo por favor,22/01/38
23/03/19 en un par de días,25/03/19
18/02/46 en tres días gracias,21/02/46
31/05/20 este viernes que viene por favor,05/06/20
25/07/36 el miércoles,30/07/36
14/02/10 el martes,16/02/10
12/03/28 en un par de días,14/03/28
02/02/11 pasado mañana,04/02/11
18/10/41 en un par de días,20/10/41
23/11/09 por favor en tres días,26/11/09
17/08/46 el próximo martes por favor,21/08/46
11/03/12 el lunes siguiente gracias,12/03/12
24/06/44 este martes,28/06/44
29/05/32 el siguiente viernes,04/06/32
11/11/25 el próximo viernes gracias,14/11/25
25/12/49 el siguiente jueves,30/12/49
23/08/03 este martes,26/08/03
19/05/07 el jueves siguiente,24/05/07
08/06/29 en tres días,11/06/29
16/04/44 en un par de días gracias,18/04/44
19/05/10 por favor mañana,20/05/10
09/07/34 por favor el próximo viernes,14/07/34
11/06/25 mañana gracias,12/06/25
29/12/40 por favor el jueves,03/01/41
11/11/53 el siguiente viernes gracias,14/11/53
28/12/27 pasado mañana,30/12/27
30/10/39 este viernes,04/11/39
06/04/20 el martes por favor,07/04/20
10/09/49 por favor este lunes siguiente,13/09/49
15/07/36 en tres días gracias,18/07/36
26/01/26 este lunes gracias,02/02/26
24/05/38 en un par de días,26/05/38
08/12/16 este miércoles siguiente por favor,14/12/16
30/03/06 pasado mañana,01/04/06
03/09/42 este viernes siguiente,05/09/42
04/12/60 el viernes,10/12/60
18/12/32 en un par de días,20/12/32
01/02/16 el siguiente lunes,08/02/16
22/02/01 este martes,27/02/01
24/06/60 pasado mañana,26/06/60
09/02/44 el siguiente miércoles,10/02/44
18/04/60 por favor el siguiente martes,20/04/60
08/06/09 en un par de días,10/06/09
24/07/35 el martes próximo,31/07/35
20/04/39 este miércoles,27/04/39
21/11/46 el siguiente miércoles,28/11/46
30/01/59 pasado mañana,01/02/59
10/09/60 en tres días por favor,13/09/60
17/08/07 este miércoles próximo por favor,22/08/07
11/09/10 por favor en tres días,14/09/10
10/11/12 este jueves próximo,15/11/12
03/06/35 este viernes que viene,08/06/35
10/12/35 pasado mañana,12/12/35
24/12/52 el martes siguiente,31/12/52
15/02/09 el lunes que viene,16/02/09
19/02/15 este miércoles que viene,25/02/15
21/10/05 el viernes por favor,28/10/05
18/08/32 el próximo jueves por favor,19/08/32
10/11/17 por favor pasado mañana,12/11/17
19/05/30 en tres días gracias,22/05/30
19/12/17 el siguiente jueves,21/12/17
17/05/53 el próximo martes,20/05/53
08/04/36 el siguiente jueves por favor,10/04/36
05/01/11 este martes que viene,11/01/11
21/11/20 este martes siguiente,24/11/20
06/02/38 el siguiente viernes por favor,12/02/38
10/10/44 en un par de días gracias,12/10/44
26/12/24 este lunes siguiente,30/12/24
16/03/52 en tres días,19/03/52
04/04/53 el miércoles,09/04/53
27/06/24 por favor el lunes próximo,01/07/24
05/10/57 este jueves,11/10/57
27/11/35 el jueves gracias,29/11/35
12/12/31 el siguiente lunes gracias,15/12/31
08/09/42 por favor el próximo lunes,15/09/42
23/10/59 por favor el próximo miércoles,29/10/59
10/02/54 el siguiente martes gracias,17/02/54
13/04/36 en tres días gracias,16/04/36
21/06/43 el próximo lunes por favor,22/06/43
18/11/45 este viernes que viene,24/11/45
07/01/25 el viernes,10/01/25
22/03/13 el siguiente viernes,29/03/13
14/10/40 el próximo martes,16/10/40
10/09/09 el próximo miércoles,16/09/09
17/12/10 el siguiente martes por favor,21/12/10
28/06/22 en tres días,01/07/22
25/11/43 en un par de días,27/11/43
11/08/44 el viernes siguiente,12/08/44
15/09/20 en un par de días por favor,17/09/20
16/05/56 en un par de días,18/05/56
28/01/12 este viernes,03/02/12
31/08/02 este lunes,02/09/02
07/12/08 por favor en tres días,10/12/08
27/09/04 este lunes,04/10/04
13/02/06 el miércoles siguiente,15/02/06
08/09/44 el jueves próximo,15/09/44
01/11/60 el martes que viene,02/11/60
26/05/02 pasado mañana,28/05/02
25/01/16 el siguiente miércoles gracias,27/01/16
30/04/34 el siguiente viernes,05/05/34
29/03/54 por favor el siguiente lunes,30/03/54
07/12/60 este lunes,13/12/60
01/05/29 por favor el siguiente jueves,03/05/29
13/09/13 este miércoles siguiente gracias,18/09/13
28/02/27 el martes por favor,02/03/27
19/10/55 este jueves siguiente gracias,21/10/55
30/11/55 el miércoles que viene,01/12/55
22/08/08 pasado mañana,24/08/08
12/11/06 el próximo martes gracias,14/11/06
23/04/59 por favor el miércoles próximo,30/04/59
24/08/46 por favor este miércoles siguiente,29/08/46
27/02/44 pasado mañana,29/02/44
22/10/41 el lunes gracias,28/10/41
11/02/18 en un par de días,13/02/18
03/05/26 el viernes por favor,08/05/26
26/05/59 en tres días,29/05/59
01/09/44 por favor el siguiente martes,06/09/44
25/12/43 este lunes,28/12/43
15/04/45 este viernes por favor,21/04/45
23/06/23 este jueves siguiente,29/06/23
30/08/48 por favor en tres días,02/09/48
29/10/30 por favor en tres días,01/11/30
29/06/48 en tres días,02/07/48
14/01/49 este martes próximo,19/01/49
02/08/01 el siguiente viernes,03/08/01
01/11/02 en tres días por favor,04/11/02
12/08/38 el próximo miércoles,18/08/38
08/09/10 este martes próximo por favor,14/09/10
01/06/34 este miércoles que viene,07/06/34
19/05/40 este martes próximo por favor,22/05/40
21/03/28 el siguiente viernes,24/03/28
05/10/33 este miércoles,12/10/33
14/09/39 este martes,20/09/39
28/03/41 por favor el miércoles próximo,03/04/41
25/03/03 el siguiente miércoles,26/03/03
12/12/02 este lunes,16/12/02
13/11/15 en un par de días gracias,15/11/15
09/12/49 el martes que viene por favor,14/12/49
27/02/59 pasado mañana,01/03/59
10/03/27 el martes,16/03/27
22/09/14 el martes,23/09/14
03/02/44 el siguiente miércoles por favor,10/02/44
21/08/38 este martes,24/08/38
24/01/12 pasado mañana,26/01/12
12/01/28 este miércoles,19/01/28
27/11/34 en tres días gracias,30/11/34
24/09/43 este martes,29/09/43
24/10/09 mañana,25/10/09
13/01/51 el siguiente miércoles por favor,18/01/51
23/07/60 este miércoles siguiente,28/07/60
04/01/44 este miércoles,06/01/44
21/03/59 el lunes,24/03/59
06/09/49 el jueves por favor,09/09/49
22/05/48 el jueves próximo,28/05/48
03/05/51 el siguiente lunes,08/05/51
24/02/42 el miércoles siguiente gracias,26/02/42
11/09/42 el lunes por favor,15/09/42
10/06/50 el miércoles próximo,15/06/50
08/01/14 en tres días,11/01/14
16/06/45 el siguiente miércoles,21/06/45
31/12/04 el jueves próximo,06/01/05
10/02/35 por favor el jueves que viene,15/02/35
18/08/23 en un par de días,20/08/23
19/05/44 el siguiente viernes,20/05/44
09/01/53 el miércoles,15/01/53
22/11/33 el siguiente miércoles,23/11/33
07/05/55 el siguiente martes,11/05/55
09/09/60 este miércoles que viene por favor,15/09/60
25/08/31 el jueves que viene,28/08/31
08/07/25 este miércoles,09/07/25
01/10/28 en tres días,04/10/28
05/07/05 el siguiente lunes,11/07/05
11/07/02 el viernes próximo,12/07/02
21/12/52 este miércoles que viene por favor,25/12/52
18/01/04 el próximo viernes,23/01/04
02/07/11 por favor este jueves,07/07/11
14/11/32 el siguiente jueves gracias,18/11/32
19/04/31 el siguiente lunes,21/04/31
22/05/52 en un par de días,24/05/52
31/05/02 por favor en un par de días,02/06/02
01/02/56 este lunes gracias,07/02/56
13/08/30 mañana por favor,14/08/30
21/02/34 el próximo miércoles gracias,22/02/34
24/09/08 el próximo martes gracias,30/09/08
30/05/38 por favor el martes que viene,01/06/38
18/12/30 en tres días por favor,21/12/30
23/01/32 este miércoles,28/01/32
15/12/36 el próximo miércoles por favor,17/12/36
07/07/31 por favor el viernes que viene,11/07/31
23/01/05 este miércoles que viene gracias,26/01/05
28/04/59 este viernes,02/05/59
28/11/21 por favor en tres días,01/12/21
19/03/22 el martes,22/03/22
18/01/21 este lunes gracias,25/01/21
21/02/58 este jueves que viene,28/02/58
31/12/27 este lunes próximo,03/01/28
27/02/53 este lunes,03/03/53
15/08/07 en tres días por favor,18/08/07
16/11/05 el siguiente viernes,18/11/05
10/05/27 en un par de días,12/05/27
08/04/10 el próximo lunes gracias,12/04/10
15/04/30 mañana gracias,16/04/30
26/03/15 este martes próximo,31/03/15
07/10/01 pasado mañana,09/10/01
20/04/48 en un par de días por favor,22/04/48
04/04/29 el siguiente lunes gracias,09/04/29
09/05/03 mañana,10/05/03
08/05/41 el siguiente martes gracias,14/05/41
04/01/59 en tres días por favor,07/01/59
25/11/37 por favor el viernes próximo,27/11/37
17/12/50 el lunes que viene,19/12/50
07/03/46 en tres días,10/03/46
13/10/37 el lunes,19/10/37
02/12/23 este lunes siguiente por favor,04/12/23
30/10/01 este viernes próximo,02/11/01
20/02/42 este viernes,21/02/42
01/10/52 por favor el siguiente martes,08/10/52
29/12/01 por favor el siguiente miércoles,02/01/02
24/05/28 el próximo lunes gracias,29/05/28
20/11/33 en tres días,23/11/33
03/03/51 este miércoles siguiente,08/03/51
06/01/35 este lunes,08/01/35
04/12/28 este jueves gracias,07/12/28
13/05/51 este jueves que viene por favor,18/05/51
07/10/08 en tres días,10/10/08
24/10/43 el martes próximo,27/10/43
22/12/08 este viernes siguiente,26/12/08
26/07/60 el viernes que viene,30/07/60
22/06/18 este jueves próximo,28/06/18
20/02/30 el miércoles,27/02/30
24/07/44 el próximo miércoles,27/07/44
07/02/45 en un par de días,09/02/45
15/11/59 el próximo miércoles por favor,19/11/59
18/06/30 por favor en un par de días,20/06/30
13/12/14 mañana gracias,14/12/14
27/02/55 en tres días gracias,02/03/55
14/11/26 en tres días gracias,17/11/26
05/08/32 por favor el siguiente miércoles,11/08/32
11/02/39 por favor el miércoles próximo,16/02/39
06/02/18 el lunes por favor,12/02/18
01/08/44 el próximo lunes,08/08/44
03/01/57 el jueves que viene por favor,04/01/57
04/10/06 el próximo miércoles,11/10/06
27/01/48 por favor el jueves,30/01/48
16/03/19 este miércoles siguiente,20/03/19
12/10/25 este lunes siguiente,13/10/25
15/10/23 el próximo martes,17/10/23
06/04/04 el jueves por favor,08/04/04
03/09/26 pasado mañana,05/09/26
15/06/51 este viernes,16/06/51
25/01/36 el próximo miércoles,30/01/36
06/04/20 el miércoles que viene,08/04/20
12/01/56 pasado mañana,14/01/56
01/04/08 el miércoles,02/04/08
15/11/51 en tres días,18/11/51
01/07/08 el miércoles próximo,02/07/08
05/02/53 este viernes próximo,07/02/53
21/03/30 el próximo viernes gracias,22/03/30
10/07/24 mañana,11/07/24
13/01/06 en tres días gracias,16/01/06
25/10/50 en tres días,28/10/50
23/08/47 el jueves,29/08/47
21/08/42 el siguiente martes,26/08/42
26/04/38 el martes que viene gracias,27/04/38
25/10/18 el jueves,01/11/18
27/02/31 el próximo lunes por favor,03/03/31
17/11/06 el siguiente lunes,20/11/06
14/06/58 este miércoles próximo,19/06/58
29/01/27 el próximo miércoles gracias,03/02/27
10/04/45 el lunes próximo,17/04/45
27/11/26 este martes por favor,01/12/26
02/11/38 este martes gracias,09/11/38
10/07/59 el siguiente jueves,17/07/59
10/06/48 este lunes,15/06/48
10/02/28 el miércoles siguiente,16/02/28
13/12/17 en tres días,16/12/17
03/03/37 en tres días,06/03/37
03/02/36 el siguiente viernes por favor,08/02/36
17/07/22 este jueves siguiente,21/07/22
25/01/56 el próximo miércoles,26/01/56
27/03/46 el siguiente viernes,30/03/46
29/08/40 este lunes gracias,03/09/40
31/03/60 en un par de días por favor,02/04/60
14/02/49 el siguiente lunes gracias,15/02/49
14/03/16 este lunes que viene gracias,21/03/16
01/09/01 este jueves,06/09/01
29/04/56 pasado mañana,01/05/56
24/04/46 el martes próximo gracias,01/05/46
25/09/16 el lunes próximo por favor,26/09/16
02/10/51 por favor el miércoles siguiente,04/10/51
13/10/44 este jueves que viene gracias,20/10/44
08/02/19 en tres días,11/02/19
14/04/59 este martes siguiente,15/04/59
03/12/41 pasado mañana,05/12/41
14/01/24 el próximo miércoles por favor,17/01/24
25/03/57 por favor mañana,26/03/57
17/10/47 por favor este viernes próximo,18/10/47
14/02/55 el próximo martes por favor,16/02/55
29/11/38 este miércoles,01/12/38
15/10/50 en un par de días,17/10/50
24/03/56 este martes,28/03/56
16/05/05 por favor en tres días,19/05/05
08/11/46 por favor este viernes que viene,09/11/46
31/12/17 en tres días por favor,03/01/18
05/09/32 mañana gracias,06/09/32
28/06/41 por favor en tres días,01/07/41
03/04/13 en un par de días,05/04/13
25/07/21 por favor el miércoles siguiente,28/07/21
01/07/13 el miércoles,03/07/13
09/12/26 por favor mañana,10/12/26
22/01/39 por favor en un par de días,24/01/39
21/10/36 este viernes siguiente gracias,24/10/36
02/08/28 el siguiente jueves gracias,03/08/28
12/10/05 en un par de días,14/10/05
14/11/56 en un par de días,16/11/56
06/04/18 este miércoles,11/04/18
31/12/36 este martes,06/01/37
12/12/23 por favor en un par de días,14/12/23
01/10/25 este martes,07/10/25
16/12/57 el viernes que viene,21/12/57
29/05/14 este jueves,05/06/14
03/01/23 el viernes siguiente,06/01/23
09/12/53 este martes que viene,16/12/53
08/03/21 este martes por favor,09/03/21
30/05/36 en tres días,02/06/36
24/05/21 el martes,25/05/21
10/03/10 este viernes,12/03/10
14/06/13 en tres días,17/06/13
20/03/17 por favor este jueves,23/03/17
26/06/02 por favor en tres días,29/06/02
12/01/22 el miércoles que viene,19/01/22
10/11/27 en un par de días,12/11/27
22/08/41 el siguiente viernes,23/08/41
19/07/43 este viernes,24/07/43
23/03/50 el martes por favor,29/03/50
16/02/39 el miércoles que viene por favor,23/02/39
10/11/37 este martes,17/11/37
14/01/58 este lunes,21/01/58
27/04/03 este lunes que viene,28/04/03
13/02/18 por favor el lunes próximo,19/02/18
18/04/14 este martes,22/04/14
19/06/24 el próximo martes,25/06/24
28/03/12 el martes,03/04/12
12/08/02 este martes siguiente,13/08/02
08/03/23 este lunes,13/03/23
02/12/24 este viernes que viene,06/12/24
03/02/59 este jueves,06/02/59
28/05/49 pasado mañana gracias,30/05/49
15/10/15 este viernes siguiente por favor,16/10/15
20/10/57 por favor en un par de días,22/10/57
15/10/03 este lunes que viene,20/10/03
03/08/43 mañana,04/08/43
14/10/01 el próximo jueves,18/10/01
17/12/04 este viernes gracias,24/12/04
13/07/07 el siguiente lunes por favor,16/07/07
29/02/28 este martes siguiente gracias,07/03/28
21/12/53 el miércoles siguiente gracias,24/12/53
25/09/26 este jueves,01/10/26
14/09/05 en un par de días,16/09/05
06/07/36 este jueves por favor,10/07/36
09/08/32 este miércoles siguiente,11/08/32
04/04/60 por favor en un par de días,06/04/60
24/12/58 por favor el siguiente lunes,30/12/58
07/02/08 este martes que viene por favor,12/02/08
10/08/35 en tres días,13/08/35
10/08/12 en tres días,13/08/12
05/03/21 en un par de días,07/03/21
15/01/10 este lunes próximo,18/01/10
23/03/51 en tres días,26/03/51
17/11/44 por favor mañana,18/11/44
28/10/10 en tres días gracias,31/10/10
29/10/46 el siguiente viernes,02/11/46
04/08/59 pasado mañana,06/08/59
27/01/52 en un par de días,29/01/52
14/02/47 el próximo miércoles gracias,20/02/47
04/08/22 el próximo jueves por favor,11/08/22
15/07/44 en un par de días,17/07/44
05/02/08 por favor este jueves próximo,07/02/08
11/05/21 el viernes,14/05/21
23/10/53 este lunes que viene,27/10/53
20/12/10 el próximo martes por favor,21/12/10
12/02/28 el siguiente martes gracias,15/02/28
17/07/29 este jueves próximo,19/07/29
03/06/52 el siguiente miércoles gracias,05/06/52
25/12/34 este martes que viene,26/12/34
02/03/21 el jueves siguiente,04/03/21
08/12/37 el siguiente jueves por favor,10/12/37
23/07/19 por favor este lunes siguiente,29/07/19
10/12/12 el martes,11/12/12
01/08/09 este martes siguiente gracias,04/08/09
18/09/15 el próximo miércoles,23/09/15
17/03/19 por favor este jueves que viene,21/03/19
18/08/24 en tres días gracias,21/08/24
05/06/39 el siguiente jueves,09/06/39
20/08/36 por favor el siguiente jueves,21/08/36
25/10/22 el miércoles siguiente gracias,26/10/22
19/11/52 el siguiente viernes,22/11/52
06/01/05 en tres días,09/01/05
29/12/43 este viernes próximo,01/01/44
10/11/47 en tres días,13/11/47
13/08/33 el jueves gracias,18/08/33
18/02/10 el próximo jueves gracias,25/02/10
23/05/28 el siguiente jueves gracias,25/05/28
16/12/48 este lunes siguiente,21/12/48
07/01/38 el siguiente lunes,11/01/38
08/08/42 por favor este martes,12/08/42
06/02/22 el miércoles próximo,09/02/22
30/11/24 pasado mañana gracias,02/12/24
31/12/12 por favor el próximo jueves,03/01/13
25/07/32 el siguiente lunes,26/07/32
20/08/42 el viernes,22/08/42
28/12/32 pasado mañana,30/12/32
25/08/27 el lunes,30/08/27
21/11/01 el viernes,23/11/01
25/11/57 por favor el martes siguiente,27/11/57
08/05/54 el próximo miércoles,13/05/54
14/02/03 el siguiente martes,18/02/03
30/05/59 por favor el viernes,06/06/59
26/11/04 este miércoles,01/12/04
01/04/60 por favor el viernes,02/04/60
02/07/21 por favor este miércoles,07/07/21
11/09/22 por favor el jueves,15/09/22
02/08/49 este jueves,05/08/49
06/07/34 el lunes,10/07/34
30/09/27 por favor este jueves,07/10/27
28/04/57 este martes que viene,01/05/57
21/07/32 el miércoles próximo gracias,28/07/32
13/12/10 el próximo miércoles,15/12/10
27/12/47 el viernes por favor,03/01/48
16/03/21 el próximo miércoles,17/03/21
09/09/39 el jueves por favor,15/09/39
07/11/34 por favor el lunes que viene,13/11/34
14/09/00 este lunes,18/09/00
04/04/35 este miércoles siguiente,11/04/35
04/12/22 este lunes que viene,05/12/22
29/12/26 el miércoles siguiente gracias,30/12/26
05/02/08 el siguiente viernes,08/02/08
14/02/21 en tres días gracias,17/02/21
06/09/26 en tres días gracias,09/09/26
15/11/18 en tres días por favor,18/11/18
17/05/14 el próximo lunes,19/05/14
16/05/39 este lunes,23/05/39
22/08/56 el siguiente jueves,24/08/56
15/06/28 pasado mañana,17/06/28
24/10/57 en un par de días,26/10/57
13/06/36 el próximo martes,17/06/36
15/01/03 el martes por favor,21/01/03
01/08/24 el viernes,02/08/24
09/03/07 el miércoles próximo por favor,14/03/07
10/02/44 el viernes que viene por favor,12/02/44
06/04/42 el martes que viene,08/04/42
17/01/37 en un par de días,19/01/37
06/11/29 por favor este lunes que viene,12/11/29
22/11/37 el miércoles que viene,25/11/37
02/01/09 por favor el martes siguiente,06/01/09
21/05/14 en un par de días,23/05/14
31/05/23 en un par de días,02/06/23
04/06/45 el viernes,09/06/45
14/12/05 el miércoles por favor,21/12/05
26/07/31 por favor este lunes próximo,28/07/31
04/10/37 pasado mañana,06/10/37
07/01/54 el siguiente lunes,12/01/54
19/02/49 por favor este martes que viene,23/02/49
25/04/29 el miércoles siguiente por favor,02/05/29
30/08/40 el miércoles que viene,05/09/40
15/06/02 el próximo miércoles gracias,19/06/02
03/09/04 el viernes gracias,10/09/04
16/07/57 este miércoles siguiente,18/07/57
23/07/57 el miércoles,25/07/57
25/06/16 este viernes,01/07/16
13/07/56 en un par de días por favor,15/07/56
12/10/39 el siguiente viernes,14/10/39
07/07/57 por favor el lunes,09/07/57
17/03/12 este jueves,22/03/12
10/04/00 por favor este viernes,14/04/00
11/12/35 por favor en tres días,14/12/35
13/12/17 por favor el siguiente miércoles,20/12/17
14/05/56 el próximo martes,16/05/56
31/05/27 este viernes,04/06/27
23/02/28 este jueves próximo por favor,24/02/28
29/08/51 este viernes que viene,01/09/51
